Time (s),Current (uA)
0.0,924159.7
0.01,4060790.81
0.02,5327408.52
0.03,4688760.5
0.04,4550475.66
0.05,6140736.16
0.06,6150382.1
0.07,6818673.19
0.08,6106058.99
0.09,5157258.63
0.1,6077135.0
0.11,4605601.4
0.12,6301374.62
0.13,6112262.99
0.14,4466597.43
0.15,5216650.23
0.16,5023482.33
0.17,9769.29
0.18,1878501.79
0.19,6818391.26
0.2,5356420.82
0.21,5243508.77
0.22,5943943.22
0.23,3470333.17
0.24,4605876.58
0.25,4556737.87
0.26,3814027.36
0.27,3678736.88
0.28,5022771.25
0.29,4267443.58
0.3,4096584.64
0.31,3486427.68
0.32,70355.4
0.33,2809201.2
0.34,5925659.24
0.35,6144390.68
0.36,4620463.12
0.37,4879240.78
0.38,5694546.45
0.39,5131010.62
0.4,4870003.99
0.41,5002927.41
0.42,5082239.43
0.43,4293820.11
0.44,7183843.63
0.45,5913034.45
0.46,4637354.28
0.47,6165785.45
0.48,4951809.96
0.49,9580.8
0.5,1331292.75
0.51,1069085.54
0.52,5739189.34
0.53,5384560.85
0.54,6158897.42
0.55,4597418.01
0.56,7327984.19
0.57,7231717.08
0.58,5583585.02
0.59,5204397.29
0.6,6857202.86
0.61,5648140.68
0.62,5105506.32
0.63,6006964.23
0.64,5025786.28
0.65,4813217.0
0.66,4109743.81
0.67,4802505.02
0.68,1232142.04
0.69,51825.34
0.7,5480650.99
0.71,5676465.87
0.72,6358891.72
0.73,5744051.28
0.74,6551685.41
0.75,4854262.05
0.76,6639605.39
0.77,5143059.53
0.78,4579135.17
0.79,6879120.23
0.8,5375703.39
0.81,5090255.44
0.82,4574921.79
0.83,4815784.66
0.84,279869.71
0.85,1944935.9
0.86,6806932.37
0.87,5058393.87
0.88,6098716.41
0.89,5155136.95
0.9,4874954.31
0.91,7393261.87
0.92,5154859.92
0.93,4039040.42
0.94,4822387.32
0.95,6603324.3
0.96,5540691.41
0.97,5602319.4
0.98,4486497.51
0.99,2654745.23
1.0,3089791.91
1.01,5643801.08
1.02,5711609.27
1.03,5967597.24
1.04,4142656.16
1.05,6463638.16
1.06,5406155.17
1.07,6030787.38
1.08,4593159.74
1.09,5620268.33
1.1,5160539.6
1.11,3911500.59
1.12,6456958.69
1.13,5222891.43
1.14,963075.95
1.15,1234736.34
1.16,5135722.96
1.17,5329590.28
1.18,4607332.62
1.19,4967724.02
1.2,5092210.55
1.21,4746249.15
1.22,4669858.53
1.23,6142692.25
1.24,4969701.89
1.25,6082043.12
1.26,4960316.6
1.27,6682287.78
1.28,5095703.08
1.29,5569573.59
1.3,1024959.98
1.31,6916.39
1.32,2603181.52
1.33,5063509.03
1.34,5397338.97
1.35,5280861.92
1.36,4249328.74
1.37,4928887.57
1.38,4438341.17
1.39,4604080.64
1.4,4434001.34
1.41,4134850.46
1.42,5151758.81
1.43,5248251.02
1.44,3830865.31
1.45,2701175.39
1.46,6072703.57
1.47,3380051.97
1.48,3674121.02
1.49,3282198.3
1.5,3350141.74
1.51,4353375.03
1.52,305424.97
1.53,1311842.41
1.54,4919062.02
1.55,5120904.87
1.56,5109823.05
1.57,4536874.07
1.58,2681003.94
1.59,3882743.78
1.6,2763127.54
1.61,4134040.14
1.62,3657411.0
1.63,4450013.92
1.64,3907980.93
1.65,4073043.59
1.66,3536488.42
1.67,3957576.38
1.68,237729.4
1.69,2506019.14
1.7,5157467.37
1.71,4804777.79
1.72,3617725.51
1.73,3440594.64
1.74,3429787.15
1.75,3570762.73
1.76,4482967.25
1.77,3385986.2
1.78,4341717.5
1.79,3040337.35
1.8,4338918.52
1.81,3739852.78
1.82,3312370.99
1.83,489419.21
1.84,1363189.24
1.85,4266435.26
1.86,4933888.66
1.87,4637471.92
1.88,1197727.4
1.89,1221570.09
1.9,4288104.81
1.91,3893588.52
1.92,3842794.5
1.93,4144042.44
1.94,3875564.98
1.95,4295052.99
1.96,917521.6
1.97,121055.35
1.98,70543.36
1.99,4882469.17
2.0,4704419.0
2.01,5015823.27
2.02,4875802.63
2.03,4272621.18
2.04,5192051.17
2.05,5391830.37
2.06,4571453.04
2.07,4633377.67
2.08,5341153.58
2.09,5217925.63
2.1,5149332.65
2.11,5486506.87
2.12,5062812.61
2.13,5144847.64
2.14,5390648.21
2.15,4951706.97
2.16,5168085.61
2.17,5285599.87
2.18,4865398.0
2.19,5257191.01
2.2,5322647.71
2.21,5341941.04
2.22,3722250.97
2.23,4234066.06
2.24,5121633.76
2.25,5089692.04
2.26,5163757.16
2.27,5038522.29
2.28,4466474.98
2.29,5351538.54
2.3,5332420.6
2.31,5307107.28
2.32,5422529.57
2.33,4778889.95
2.34,5071716.42
2.35,6609957.0
2.36,5200114.05
2.37,5428729.43
2.38,5634004.97
2.39,5645156.22
2.4,4308760.52
2.41,5635896.57
2.42,5165120.22
2.43,4928636.0
2.44,5748504.5
2.45,5756525.59
2.46,5451193.08
2.47,5549069.24
2.48,5462444.9
2.49,5073206.07
2.5,4967806.47
2.51,5244654.77
2.52,2704993.29
2.53,5320946.14
2.54,5629098.78
2.55,4891802.83
2.56,5405632.66
2.57,4805618.74
2.58,5465787.76
2.59,5147236.29
2.6,5358346.43
2.61,5445457.1
2.62,5368747.5
2.63,5379157.34
2.64,4225637.07
2.65,4865391.53
2.66,4934415.85
2.67,5295472.97
2.68,3439464.51
2.69,4974531.25
2.7,4956359.35
2.71,4778786.75
2.72,525353.15
2.73,4729364.7
2.74,3502169.15
2.75,3631534.32
2.76,5145390.19
2.77,3569795.33
2.78,1446160.65
2.79,94290.19
2.8,4445468.46
2.81,5528368.16
2.82,5653513.7
2.83,3919431.89
2.84,3849410.83
2.85,3313874.71
2.86,3858415.14
2.87,3149351.1
2.88,3214683.32
2.89,3585158.3
2.9,3028486.75
2.91,4282467.12
2.92,3593889.3
2.93,4049017.49
2.94,62687.47
2.95,1330144.41
2.96,4734599.34
2.97,5281036.9
2.98,5397047.19
2.99,5189537.39
3.0,4424146.68
3.01,2801053.05
3.02,4019187.72
3.03,4081047.73
3.04,4833196.72
3.05,2940563.04
3.06,4084323.05
3.07,4230271.55
3.08,4251715.83
3.09,3532486.67
3.1,3161696.1
3.11,290881.62
3.12,67776.55
3.13,2053967.3
3.14,5445198.01
3.15,5627312.4
3.16,4801432.64
3.17,3738403.38
3.18,3371180.31
3.19,3108403.34
3.2,3753246.97
3.21,3888514.48
3.22,3613235.22
3.23,3864824.04
3.24,3823331.07
3.25,4164247.54
3.26,3637767.51
3.27,3688000.32
3.28,3491620.83
3.29,3633467.26
3.3,2848418.65
3.31,4660221.73
3.32,3985621.19
3.33,3455380.83
3.34,22397.4
3.35,1386576.23
3.36,1214440.67
3.37,5096301.27
3.38,5151578.08
3.39,5347712.9
3.4,6165418.43
3.41,4721270.31
3.42,4096745.79
3.43,3072966.65
3.44,3313423.5
3.45,3422168.13
3.46,3857113.43
3.47,4197036.83
3.48,3233295.06
3.49,4284461.87
3.5,3663537.19
3.51,3782206.17
3.52,3629429.01
3.53,623736.98
3.54,1694077.29
3.55,5854583.78
3.56,5226843.52
3.57,5308258.9
3.58,3307521.08
3.59,4220378.83
3.6,3713546.24
3.61,4398330.12
3.62,2982351.55
3.63,3814254.63
3.64,4134939.8
3.65,3976410.65
3.66,5152761.27
3.67,4366168.71
3.68,3937438.56
3.69,3571709.34
3.7,4648294.27
3.71,22377.02
3.72,1812390.86
3.73,5939011.68
3.74,5501782.53
3.75,4453271.68
3.76,3983483.89
3.77,4313185.36
3.78,3722196.21
3.79,3563004.58
3.8,4505159.87
3.81,4338342.1
3.82,4459269.86
3.83,3834408.4
3.84,3336666.17
3.85,3340331.33
3.86,2273810.83
3.87,349302.18
3.88,1024574.04
3.89,4705276.54
3.9,4881527.99
3.91,3686742.3
3.92,3400975.46
3.93,3728170.45
3.94,4228116.66
3.95,3449984.62
3.96,3798183.47
3.97,3517768.93
3.98,5340597.47
3.99,3836768.6
4.0,3803447.04
4.01,3862087.26
4.02,3540064.74
4.03,1815277.79
4.04,1857873.44
4.05,1117752.97
4.06,5551135.13
4.07,4612731.34
4.08,4483566.32
4.09,3372233.23
4.1,3301327.96
4.11,3398601.91
4.12,3201683.06
4.13,3828350.19
4.14,3599765.57
4.15,3974584.74
4.16,4221571.24
4.17,3766884.81
4.18,3441478.17
4.19,4428131.8
4.2,3109669.9
4.21,5020700.22
4.22,3765195.95
4.23,3139679.18
4.24,3469214.75
4.25,4191437.47
4.26,492348.4
4.27,3231.11
4.28,1687097.09
4.29,3161935.29
4.3,6129578.06
4.31,5147439.83
4.32,5206381.83
4.33,4502433.97
4.34,3495028.57
4.35,3590505.33
4.36,3852673.65
4.37,4616811.9
4.38,3797955.62
4.39,3634410.59
4.4,3713007.83
4.41,4023824.18
4.42,4003600.46
4.43,3468648.42
4.44,3373092.09
4.45,3699192.37
4.46,3319.74
4.47,1334116.93
4.48,4558391.97
4.49,5285671.13
4.5,3649099.31
4.51,4498671.01
4.52,3413603.44
4.53,4875185.37
4.54,4121801.0
4.55,4050660.21
4.56,4098145.01
4.57,3212120.04
4.58,3010168.67
4.59,3680689.01
4.6,3346881.76
4.61,1147867.77
4.62,19877.2
4.63,3922154.62
4.64,5190994.38
4.65,5638954.32
4.66,3133614.12
4.67,4207329.9
4.68,4263177.45
4.69,3633609.15
4.7,3473290.4
4.71,4327488.72
4.72,3226411.32
4.73,3963501.43
4.74,3932901.03
4.75,3231007.81
4.76,3702628.15
4.77,44942.63
4.78,1226075.6
4.79,4351877.79
4.8,5395611.63
4.81,3061623.09
4.82,3833716.59
4.83,3346142.37
4.84,4839343.55
4.85,3955315.18
4.86,3167380.76
4.87,4012245.07
4.88,4186875.01
4.89,4111947.24
